timestamp,gpu_id,gpu_name,gpu_util%,mem_used_mb,mem_total_mb,mem_util%,temp_c,power_w
2026-05-17 17:51:51,0, NVIDIA A800-SXM4-80GB, 0, 0, 81920, 0, 30, 59.85
2026-05-17 17:51:51,1, NVIDIA A800-SXM4-80GB, 0, 0, 81920, 0, 30, 62.29
2026-05-17 17:51:56,0, NVIDIA A800-SXM4-80GB, 0, 4, 81920, 0, 30, 59.58
2026-05-17 17:51:56,1, NVIDIA A800-SXM4-80GB, 0, 4, 81920, 0, 30, 62.35
2026-05-17 17:52:01,0, NVIDIA A800-SXM4-80GB, 0, 4, 81920, 0, 30, 59.91
2026-05-17 17:52:01,1, NVIDIA A800-SXM4-80GB, 0, 4, 81920, 0, 30, 62.35
2026-05-17 17:52:06,0, NVIDIA A800-SXM4-80GB, 0, 4, 81920, 0, 30, 59.85
2026-05-17 17:52:06,1, NVIDIA A800-SXM4-80GB, 0, 4, 81920, 0, 30, 62.29
2026-05-17 17:52:11,0, NVIDIA A800-SXM4-80GB, 0, 4, 81920, 0, 30, 59.91
2026-05-17 17:52:11,1, NVIDIA A800-SXM4-80GB, 0, 4, 81920, 0, 30, 62.35
2026-05-17 17:52:16,0, NVIDIA A800-SXM4-80GB, 0, 4, 81920, 0, 30, 59.52
2026-05-17 17:52:16,1, NVIDIA A800-SXM4-80GB, 0, 4, 81920, 0, 30, 62.29
2026-05-17 17:52:21,0, NVIDIA A800-SXM4-80GB, 0, 4, 81920, 0, 29, 59.58
2026-05-17 17:52:21,1, NVIDIA A800-SXM4-80GB, 0, 4, 81920, 0, 30, 62.29
2026-05-17 17:52:26,0, NVIDIA A800-SXM4-80GB, 0, 4, 81920, 0, 29, 59.85
2026-05-17 17:52:26,1, NVIDIA A800-SXM4-80GB, 0, 4, 81920, 0, 30, 62.29
2026-05-17 17:52:31,0, NVIDIA A800-SXM4-80GB, 0, 4, 81920, 0, 30, 59.91
2026-05-17 17:52:31,1, NVIDIA A800-SXM4-80GB, 0, 4, 81920, 0, 30, 62.29
2026-05-17 17:52:36,0, NVIDIA A800-SXM4-80GB, 0, 4, 81920, 0, 30, 59.85
2026-05-17 17:52:36,1, NVIDIA A800-SXM4-80GB, 0, 4, 81920, 0, 30, 62.29
2026-05-17 17:52:42,0, NVIDIA A800-SXM4-80GB, 0, 4, 81920, 0, 30, 59.91
2026-05-17 17:52:42,1, NVIDIA A800-SXM4-80GB, 0, 4, 81920, 0, 30, 62.69
2026-05-17 17:52:47,0, NVIDIA A800-SXM4-80GB, 0, 424, 81920, 0, 30, 66.34
2026-05-17 17:52:47,1, NVIDIA A800-SXM4-80GB, 0, 4, 81920, 0, 30, 62.29
2026-05-17 17:52:52,0, NVIDIA A800-SXM4-80GB, 9, 2032, 81920, 0, 30, 66.61
2026-05-17 17:52:52,1, NVIDIA A800-SXM4-80GB, 45, 2032, 81920, 1, 31, 83.91
2026-05-17 17:52:57,0, NVIDIA A800-SXM4-80GB, 8, 2032, 81920, 0, 30, 66.61
2026-05-17 17:52:57,1, NVIDIA A800-SXM4-80GB, 36, 2032, 81920, 1, 32, 91.94
2026-05-17 17:53:02,0, NVIDIA A800-SXM4-80GB, 0, 918, 81920, 0, 31, 82.35
2026-05-17 17:53:02,1, NVIDIA A800-SXM4-80GB, 0, 918, 81920, 0, 32, 83.57
2026-05-17 17:53:07,0, NVIDIA A800-SXM4-80GB, 14, 15676, 81920, 0, 31, 82.69
2026-05-17 17:53:07,1, NVIDIA A800-SXM4-80GB, 19, 17916, 81920, 0, 32, 83.99
2026-05-17 17:53:12,0, NVIDIA A800-SXM4-80GB, 0, 940, 81920, 0, 31, 66.34
2026-05-17 17:53:12,1, NVIDIA A800-SXM4-80GB, 0, 940, 81920, 0, 32, 69.11
2026-05-17 17:53:17,0, NVIDIA A800-SXM4-80GB, 0, 940, 81920, 0, 30, 66.40
2026-05-17 17:53:17,1, NVIDIA A800-SXM4-80GB, 0, 940, 81920, 0, 31, 69.18
2026-05-17 17:53:22,0, NVIDIA A800-SXM4-80GB, 0, 940, 81920, 0, 30, 66.40
